threshold,accuracy,precision,recall,f1,specificity,approval_rate,tn,fp,fn,tp
0.05,0.5275,0.4814712389380531,0.9914578587699316,0.6481757259865971,0.16443850267379678,0.096,369,1875,15,1741
0.06,0.55125,0.49444602677299915,0.9886104783599089,0.6591987848870324,0.2090017825311943,0.12225,469,1775,20,1736
0.07,0.5645,0.5020266357845976,0.9874715261958997,0.6656429942418426,0.23351158645276293,0.1365,524,1720,22,1734
0.08,0.59,0.5173444976076556,0.9851936218678815,0.6784313725490196,0.2807486631016043,0.164,630,1614,26,1730
0.09,0.617,0.5347826086956522,0.9806378132118451,0.6921221864951769,0.3324420677361854,0.195,746,1498,34,1722
0.1,0.63025,0.5437322387117146,0.9806378132118451,0.6995734308348568,0.3560606060606061,0.20825,799,1445,34,1722
0.11,0.6445,0.5538362346872985,0.9783599088838268,0.7072869493618773,0.38324420677361853,0.2245,860,1384,38,1718
0.12,0.65575,0.5623560381704508,0.9732346241457859,0.7128258602711157,0.40730837789661317,0.24025,914,1330,47,1709
0.13,0.67575,0.5777175753471047,0.9715261958997722,0.7245699723932895,0.4442959001782531,0.26175,997,1247,50,1706
0.14,0.69,0.5895833333333333,0.9669703872437357,0.7325280414150129,0.4732620320855615,0.28,1062,1182,58,1698
0.15,0.7065,0.6040772532188842,0.9618451025056948,0.742091388400703,0.5066844919786097,0.301,1137,1107,67,1689
0.16,0.72075,0.61733382298935,0.9572892938496583,0.7506139763340032,0.535650623885918,0.31925,1202,1042,75,1681
0.17,0.7275,0.624439461883408,0.9515945330296127,0.7540613718411552,0.5521390374331551,0.331,1239,1005,85,1671
0.18,0.734,0.6311599696739955,0.9481776765375854,0.7578516158397816,0.5663992869875223,0.3405,1271,973,91,1665
0.19,0.74225,0.6397994600848438,0.9447608200455581,0.7629340078178891,0.5837789661319073,0.35175,1310,934,97,1659
0.2,0.7505,0.6492125984251969,0.9390660592255126,0.7676908752327747,0.6029411764705882,0.365,1353,891,107,1649
0.21,0.75825,0.6578631452581032,0.9362186788154897,0.772737955346651,0.6189839572192514,0.37525,1389,855,112,1644
0.22,0.76475,0.665314401622718,0.9339407744874715,0.7770670457237622,0.6323529411764706,0.38375,1419,825,116,1640
0.23,0.7705,0.6729975227085053,0.928246013667426,0.7802776448061274,0.6470588235294118,0.3945,1452,792,126,1630
0.24,0.77375,0.6782572266443234,0.9219817767653758,0.7815592565773594,0.6577540106951871,0.40325,1476,768,137,1619
0.25,0.77625,0.6828025477707006,0.9157175398633257,0.78229141328144,0.6671122994652406,0.41125,1497,747,148,1608
0.26,0.77975,0.6881720430107527,0.9111617312072893,0.78412153883852,0.6769162210338681,0.41875,1519,725,156,1600
0.27,0.785,0.6951219512195121,0.908883826879271,0.7877591312931885,0.6880570409982175,0.426,1544,700,160,1596
0.28,0.78775,0.7000441111601235,0.9037585421412301,0.7889634601043997,0.696969696969697,0.43325,1564,680,169,1587
0.29,0.78825,0.7033557046979866,0.8952164009111617,0.787772488098221,0.7045454545454546,0.44125,1581,663,184,1572
0.3,0.78975,0.7067329417080885,0.8906605922551253,0.7881078357268834,0.7107843137254902,0.44675,1595,649,192,1564
0.31,0.795,0.7146788990825688,0.8872437357630979,0.7916666666666666,0.7228163992869875,0.455,1622,622,198,1558
0.32,0.801,0.7247191011235955,0.8815489749430524,0.7954779033915724,0.7379679144385026,0.466,1656,588,208,1548
0.33,0.80325,0.7284299858557284,0.8798405466970387,0.7970079958730978,0.7433155080213903,0.46975,1668,576,211,1545
0.34,0.8055,0.7330791229742613,0.8758542141230068,0.7981318111053451,0.750445632798574,0.4755,1684,560,218,1538
0.35,0.8075,0.737247353224254,0.8724373576309795,0.7991653625456442,0.7566844919786097,0.4805,1698,546,224,1532
0.36,0.8085,0.7407587548638133,0.8673120728929385,0.7990556138509969,0.7624777183600713,0.486,1711,533,233,1523
0.37,0.80975,0.7449532250123092,0.8616173120728929,0.7990493794560338,0.7691622103386809,0.49225,1726,518,243,1513
0.38,0.81,0.7485029940119761,0.8542141230068337,0.7978723404255319,0.7754010695187166,0.499,1740,504,256,1500
0.39,0.81325,0.7551846231664138,0.8502277904328018,0.7998928475756764,0.7843137254901961,0.50575,1760,484,263,1493
0.4,0.8125,0.7568947906026557,0.8439635535307517,0.7980613893376414,0.7878787878787878,0.5105,1768,476,274,1482
0.4013597369194031,0.8135,0.7587090163934426,0.8433940774487472,0.7988133764832794,0.7901069518716578,0.512,1773,471,275,1481
0.41,0.81425,0.7631168831168831,0.8365603644646925,0.7981526759032872,0.7967914438502673,0.51875,1788,456,287,1469
0.42,0.81425,0.7664387164650184,0.8297266514806378,0.7968280010937927,0.8021390374331551,0.52475,1800,444,299,1457
0.43,0.81475,0.7721179624664879,0.8200455580865603,0.7953603976801988,0.8106060606060606,0.53375,1819,425,316,1440
0.44,0.81625,0.77729494839761,0.8149202733485194,0.7956630525437864,0.8172905525846702,0.53975,1834,410,325,1431
0.45,0.816,0.7808370044052864,0.8075170842824602,0.793952967525196,0.8226381461675579,0.546,1846,398,338,1418
0.46,0.816,0.7845982142857143,0.8006833712984055,0.7925591882750845,0.8279857397504456,0.552,1858,386,350,1406
0.47,0.8145,0.7887243735763098,0.7887243735763098,0.7887243735763098,0.8346702317290553,0.561,1873,371,371,1385
0.48,0.8145,0.7920506912442397,0.7830296127562643,0.7875143184421535,0.839126559714795,0.566,1883,361,381,1375
0.49,0.81225,0.7936879018118059,0.7733485193621867,0.7833862128641477,0.8426916221033868,0.57225,1891,353,398,1358
0.5,0.81275,0.7967000589275192,0.7699316628701595,0.7830871705763105,0.8462566844919787,0.57575,1899,345,404,1352
0.51,0.812,0.8002392344497608,0.7619589977220956,0.780630105017503,0.8511586452762924,0.582,1910,334,418,1338
0.52,0.814,0.8081607795371498,0.7556947608200456,0.7810476751030018,0.8596256684491979,0.5895,1929,315,429,1327
0.53,0.812,0.8106435643564357,0.7460136674259681,0.7769869513641756,0.8636363636363636,0.596,1938,306,446,1310
0.54,0.81075,0.8119925046845722,0.7403189066059226,0.7745010425975574,0.8658645276292335,0.59975,1943,301,456,1300
0.55,0.811,0.817258883248731,0.7334851936218679,0.773109243697479,0.8716577540106952,0.606,1956,288,468,1288
0.56,0.81175,0.8241758241758241,0.7260820045558086,0.7720254314259763,0.8787878787878788,0.61325,1972,272,481,1275
0.57,0.81,0.8276315789473684,0.7164009111617312,0.7680097680097681,0.8832442067736186,0.62,1982,262,498,1258
0.58,0.808,0.8302139037433155,0.7072892938496583,0.7638376383763837,0.8868092691622104,0.626,1990,254,514,1242
0.59,0.8075,0.8344640434192673,0.7004555808656037,0.7616099071207431,0.8912655971479501,0.6315,2000,244,526,1230
0.6,0.80475,0.8364389233954451,0.6902050113895216,0.7563182527301092,0.8943850267379679,0.63775,2007,237,544,1212
0.61,0.802,0.8370629370629371,0.6816628701594533,0.751412429378531,0.8961675579322638,0.6425,2011,233,559,1197
0.62,0.80125,0.8415067519545132,0.6742596810933941,0.748656338918748,0.9006238859180036,0.64825,2021,223,572,1184
0.63,0.798,0.841991341991342,0.6645785876993167,0.7428389560789306,0.9024064171122995,0.6535,2025,219,589,1167
0.64,0.79575,0.8419519300801165,0.6583143507972665,0.7388942154042826,0.9032976827094474,0.65675,2027,217,600,1156
0.65,0.79425,0.845299777942265,0.6503416856492027,0.7351142581268104,0.9068627450980392,0.66225,2035,209,614,1142
0.66,0.79175,0.8467317806160781,0.6417995444191344,0.7301587301587301,0.9090909090909091,0.66725,2040,204,629,1127
0.67,0.789,0.8491577335375191,0.6315489749430524,0.7243631613324625,0.9122103386809269,0.6735,2047,197,647,1109
0.68,0.788,0.8508500772797527,0.626993166287016,0.7219672131147541,0.9139928698752228,0.6765,2051,193,655,1101
0.69,0.786,0.8515625,0.6207289293849658,0.7180500658761528,0.9153297682709447,0.68,2054,190,666,1090
0.7,0.7845,0.8530805687203792,0.6150341685649203,0.71475843812045,0.9171122994652406,0.6835,2058,186,676,1080
0.71,0.78175,0.8529176658673061,0.607630979498861,0.7096774193548387,0.9180035650623886,0.68725,2060,184,689,1067
0.72,0.77825,0.8529650690495532,0.5979498861047836,0.7030465349849347,0.9193404634581105,0.69225,2063,181,706,1050
0.73,0.77575,0.8582151793160967,0.585990888382688,0.6964467005076143,0.9242424242424242,0.70025,2074,170,727,1029
0.74,0.77325,0.8606627017841971,0.576879271070615,0.6907603136720082,0.9269162210338681,0.70575,2080,164,743,1013
0.75,0.771,0.8633217993079585,0.5683371298405467,0.6854395604395604,0.9295900178253119,0.711,2086,158,758,998
0.76,0.76875,0.8654353562005277,0.5603644646924829,0.6802627030763913,0.9318181818181818,0.71575,2091,153,772,984
0.77,0.76725,0.8706199460916442,0.5518223234624146,0.6754966887417219,0.9358288770053476,0.72175,2100,144,787,969
0.78,0.76525,0.8771929824561403,0.541002277904328,0.6692497358224727,0.9407308377896613,0.72925,2111,133,806,950
0.79,0.7605,0.8919449901768173,0.5170842824601367,0.65465032444124,0.9509803921568627,0.7455,2134,110,848,908
0.8,0.7555,0.9052083333333333,0.494874715261959,0.6399116347569955,0.9594474153297683,0.76,2153,91,887,869
0.81,0.75475,0.9171151776103337,0.48519362186788156,0.6346368715083799,0.9656862745098039,0.76775,2167,77,904,852
0.82,0.75275,0.9246954595791805,0.4755125284738041,0.6280556600225649,0.9696969696969697,0.77425,2176,68,921,835
0.83,0.74625,0.9303135888501742,0.4561503416856492,0.6121513183034009,0.9732620320855615,0.78475,2184,60,955,801
0.84,0.738,0.9413965087281796,0.4299544419134396,0.5903049257232212,0.9790552584670231,0.7995,2197,47,1001,755
0.85,0.729,0.9409448818897638,0.4083143507972665,0.5694996028594123,0.9799465240641712,0.8095,2199,45,1039,717
0.86,0.724,0.9540389972144847,0.39009111617312076,0.5537590945836701,0.9852941176470589,0.8205,2211,33,1071,685
0.87,0.7175,0.956268221574344,0.3735763097949886,0.5372645372645373,0.9866310160427807,0.8285,2214,30,1100,656
0.88,0.71125,0.963020030816641,0.3559225512528474,0.5197505197505198,0.9893048128342246,0.83775,2220,24,1131,625
0.89,0.70625,0.9633173843700159,0.3439635535307517,0.5069240453210239,0.9897504456327986,0.84325,2221,23,1152,604
0.9,0.6975,0.9658703071672355,0.3223234624145786,0.48334756618274977,0.9910873440285205,0.8535,2224,20,1190,566
0.91,0.69,0.9690909090909091,0.30353075170842825,0.46227233304423243,0.9924242424242424,0.8625,2227,17,1223,533
0.92,0.68075,0.9761431411530815,0.27961275626423693,0.434705621956618,0.9946524064171123,0.87425,2232,12,1265,491
0.93,0.67225,0.9764453961456103,0.25968109339407747,0.41025641025641024,0.9950980392156863,0.88325,2233,11,1300,456
0.94,0.659,0.99,0.2255125284738041,0.3673469387755102,0.9982174688057041,0.9,2240,4,1360,396
0.95,0.6325,0.9965277777777778,0.16343963553530752,0.2808219178082192,0.999554367201426,0.928,2243,1,1469,287
